,singer,song
3839,Sevendust,The Last Song (Explicit Album Version)
3840,Fats Waller,Honeysuckle Rose
3841,Modey Lemon,Predator
3842,Naoki Kenji,Denshi Spirit
3843,Love Equals Death,Bombs Over Brooklyn
3844,Twin Atlantic,Old Grey Face (And The Way Of The Magenta) (L'Amour Lamorgue Edition)
3845,PWRFL Power,WNDRFL Ghost
3846,Thinking Fellers Union Local 282,Who Are Parents?
3847,MICHAEL WHITE,Journey Of The Black Star
3848,Rod Lee,Foot Loose
3849,Roy Ayers,Everybody - Original
3850,Kofi,All In The Game
3851,The Coasters,As Quiet as It's Kept
3852,C & C Music Factory,Oooh Baby
3853,Voices Of Masada,Years
3854,Spetsnaz,Buried Alive
3855,Lovie Lee,In Trouble
3856,Price,Enter
3857,Brian Free & Assurance,Don't Be Caught Dead Without Jesus
3858,Cypress Hill,Break It Up
3859,Fiction 8,Set You Free
3860,Joan Of Arc,Busy Bus_ Sunny Sun
3861,Gino Paoli,Sapore Di Sale
3862,Ray_ Goodman & Brown,Stay
3863,La Pandilla,Acalorado
3864,Belgian Asociality,Extremisten
3865,Quovadis,In Contempt
3866,Titãs,Não Fuja Da Dor
3867,The Smithereens,Indigo Blues
3868,Gary Hoey,Peahi
3869,Umberto Tozzi,Nell'Aria C'è
3870,Everlife,Find Yourself In You
3871,Murray Head,Corporation Corridors
3872,Ernie Maresca,Some Day You'll Change Your Ways
3873,Yonder Mountain String Band,Check Out Time
3874,Gerald Veasley,Do You Remember?
3875,Nate Dogg feat.  Warren G,Nobody Does It Better
3876,Phil Ochs,Going Down To Mississippi
3877,James Newton Howard,"Suite From ""One Fine Day"
3878,Trentemøller,Moan
3879,Stephy Tang,Qi Xi
3880,Jupiter Jones,Luft Malen Und Wunder Erklären
3881,Nessbeal,H.l.m Bonnie & Clyde
3882,Bah Samba,It Tastes Good
3883,Ace Karaoke Productions,Miles Away (In the style of 'Madonna') [With Backing Vocals]
3884,Phrase,Nie
3885,Camper Van Beethoven,Eye Of Fatima (Pt. 2)
3886,Mychael Danna & Jeff Danna,Evensong
3887,Kim English,Higher Things (Jazz-n-Groove Prime Time Club Mix)
3888,Volebeats,Same Old You
3889,Del Reeves,There Wouldn't Be A Lonely Heart In Town
3890,Stephen Lynch,Half A Man
3891,Jean-Louis Aubert,J't'adore Tellement
3892,Aberdeen,Bottom Of The River
3893,João Bosco,Conto De Fada
3894,Josef K,It's Kinda Funny
3895,The Coral,She's Got A Reason
3896,Black Tambourine,I Was Wrong
3897,Milanese,Double Face
3898,Nybbl,One Day That Smile Will Save You
3899,Harvey Milk,War
3900,Genf,Medienporno
3901,Electric Boys,Tambourine
3902,Janina,Help Me Feel
3903,John Lewis,I'll Remember April
3904,Shakta,Feed The Flame
3905,Pandit Hariprasad Chaurasia,Shri Govindashtakam
3906,Denise Lasalle,A Woman Needs To Be Loved
3907,Kaleidoskop,Lem
3908,Tony Senghore,Getbygetongetoffgeteven
3909,Alejandro Fernandez,Duerme Tranquila
3910,Sub-Urban Tribe,Voice With The Smile
3911,Golden Gate Quartet,You Better Mind
3912,Organized Konfusion,Shugah Shorty
3913,ATM feat. Mad Sax,Sax Machine
3914,Naseebo Lal,Aina Karma Mariyan
3915,Benassi Bros ft. Sandy,I Feel So Fine
3916,Low,Back Home Again
3917,Jan Burian,}iju (I'm Alive)
3918,Hubert Sumlin,Let Your Fingers Do The Talkin'
3919,Bling Dawg,So It Wet
3920,Anita Ellis,They Can't Take That Away From Me
3921,Oxymoron,Dead End Generation
3922,Army Navy,In the Lime
3923,Nevermore,I Am The Dog
3924,John Butler Trio,Take Me
3925,Bass Mekanik,78 Hz Tone Burst
3926,Acda & De Munnik,Geurtje
3927,Christina Stürmer,Bus durch London
3928,Horace Andy,Skylarking
3929,Metro,Maikl Burekka
3930,50 Foot Wave,Clara Bow (Live In Seattle)
3931,Stan Freberg,The Battle Of Yorktown
3932,Dali's Dilemma,Ashen Days
3933,Jimmie Rodgers,Blue Yodel #12
3934,Bamberg Symphony Orchestra,Cello Concerto No. 1 in C Major_ Hob. VIIb/1: I. Moderato
3935,Placido Domingo;Zubin Mehta,Tosca/Act III/E lucevan le stelle
3936,sun electric,Cristal Bollore
3937,Deana Carter,The Train Song
3938,Opals,My Hearts Desire
3939,Syleena Johnson,One Day
3940,Farhad,Khab Dar Bidari
3941,Parni Valjak,Ugasi me
3942,The Dears,Summer Of Protest
3943,Three 6 Mafia Three 6 Mafia feat. Frayser Boy,Don't Violate
3944,Elisabeth Schwarzkopf/Christa Ludwig/Alfredo Kraus/Giuseppe Taddei/Walter Berry/Hanny Steffek/Heinrich Schmidt/Philharmonia Chorus/Philharmonia Orchestra/Karl Böhm,Così fan tutte (1988 Digital Remaster): Sinfonia
3945,James Horner,The Ludlows
3946,Blue Sky Black Death,God Be With You
3947,Monkey Business & Danny Suko,How Will I Know
3948,Manuel De La Mare,Born Slippy
3949,Pedro Luis e a Parede,Miséria No Japão
3950,Silentium,Autumn Heart
3951,Pierre Perret,Le Grenadier de Flandre
3952,Fatals Picards,L'Amour A La Française [En Public]
3953,Gala,Suddenly
3954,Hell On Wheels,Power Bubbles Blown By Big Bitch
3955,Dessert Sessions,Holey Dime
3956,Ane Brun,Wooden body
3957,Peter Schilling,Es gibt keine Sehnsucht
3958,Godsmack,Forever Shamed
3959,C.V. Jørgensen,Costa del Sol (En inciterende flamenco) (2003 Digital Remaster)
3960,Hydragen,Creature of Habit
3961,Bachelors of Science,Have You Ever Tried
3962,Delaney & Bonnie And Friends,Only You Know And I Know
3963,Bucks Fizz,If You Can't Stand The Heat
3964,Stackridge,Long Dark River
3965,Padded Cell,Signal Failure
3966,Moraíto,Rocayisa
3967,Secret Machines,Solar Bloodlines (Non-Album Track)
3968,Sara Evans,A Real Fine Place To Start
3969,Man In Gray,Your Baby Is Dead
3970,Anita Lipnicka,The Trial
3971,Assassin,Tell Dem Again
3972,3 Doors Down,Here Without You
3973,Anjali,Turn It On
3974,Chiclete Com Banana,Que Força É Essa?
3975,Fabienne DelSol and The Bristols,For You
3976,Judge Jules,The Night You Kept Me Warm
3977,The Pietasters,Catalog Bohemian
3978,Stephen Stills,So Many Times  (LP Version)
3979,Future Cut,Horns 2000
3980,Fanfare Ciocarlia,Hora arabeasca
3981,Willie Clayton,Going Crazy
3982,Teenage Jesus_ The Jerks,Case #14 (Beirut Slump)
3983,Maxwell,Sumthin' Sumthin': Mellosmoothe
3984,The King Sisters,'Tis Autumn
3985,Cheap Trick,Can't Hold On
3986,Entwine,Curtained Life
3987,Anointed,Joy To The World (Key-E-F-Gb-Premiere Performance Plus)
3988,Sylvester,I'll Dance To That
3989,Hala Strana,Villages
3990,Cyndi Lauper,What's Going On (Featuring Chuck D)
3991,Drop Trio,smithee's second
3992,Pete Molinari,The World Has Gone Away And Left Me
3993,K.U.K.L,Outward flight
3994,Astuni & Manuel Le Saux,Faith
3995,Richard Thompson,Walking The Long Miles Home
3996,Long Beach Dub Allstars,It Ain't Easy
3997,Ace Frehley,A Little Below the Angels
3998,Ananda Project,Secrets (Tedd Patterson's Vibe Mix)
3999,Integrity,Bringing It Back (Album Version)
4000,Delux,Entre La Guerra Y El Amor
4001,Kenneth Bager,Fragment Four (Love Won't Leave Me Alone) (Parsberg & Flipside)
4002,Kate & Anna McGarrigle,Heart Like A Wheel (Album Version)
4003,Charley Patton,34 Blues
4004,Scar Symmetry,Pitch Black Progress
4005,Ancient Astronauts,Everybody
4006,The Jackson Southernaires,It's Coming Up Again
4007,Wisdom In Chains,Earth Gods
4008,Liz Story,The Christmas Song
4009,Celluloide,Love Bizarre
4010,Rick Danko,Don't Make Promises
4011,Pet Shop Boys,You Only Tell Me You Love Me When You're Drunk (Attaboy 'Still Love You When We're Sober' Mix)
4012,Trance Generators,Cally_ Juice (Remix)
4013,Syke,Sa Mundo Ng Mga Walang Kapiling
4014,Werner Pirchner,Largo Arioso [Solo Sonata for Bass-Vibes PWV 21] (Werner Pirchner)
4015,Loren Connors,Inside The Cruelty Of Day
4016,Gipsy Kings,Trista Pena
4017,Lank,Time to Move
4018,Los Bravos,Dirty Street
4019,Nicola Fasano vs Pat Rich,75 Brazil St (Chris Kaeser Remix)
4020,Maxwell,Gestation:Mythos
4021,Rock Plaza Central,Oh I Can
4022,Colin Meloy,On The Bus Mall
4023,Issa Bagayogo,M'Ba Fodi
4024,Pink Floyd Tribute,Comfortably Numb
4025,Vilma Palma e Vampiros,Voy A Vos
4026,Macabre,Mary Bell Reprise
4027,VI3,Go-Get-Her
4028,Sparks,The No 1 Song In Heaven
4029,Pete Philly & Perquisite,Mindstate (Arts The Beatdoctor Remix) (Album version)
4030,BoDeans,You Don't Get Much (Live)
4031,Dirtball,So Far So Long
4032,Silkworm,Homoactivity
4033,The Old Soul,Vege-tables
4034,Gregor Salto,Erasmus (Original Mix)
4035,Bobby Rydell,Wild One
4036,Stroke 9,Today
4037,Ernst Rolf,Se Farfar Dansar Gammal Vals (Bedstefars Vals)
4038,The Saturdays,Set Me Off
4039,Yehudit Ravitz,The Gardners Are Sad Today / Ha'gananim Hayom Atzuvim
4040,Athlete,I Love (Live in San Francisco)
4041,Kool Keith,Lovely Lady Android Remix
4042,Plastilina Mosh,Garret Club
4043,Erik Truffaz,Bending New Corners (live 2006)
4044,Jel,Killer Whale
4045,Spencer Brewer,Which Is Yes
4046,Lynch Mob,Kiss Of Death
4047,Alessandra Celletti,Two Trees
4048,Roy Acuff,When I Lay My Burden Down
4049,Fiddlin' John Carson & His Virginia Reelers,Little More Sugar In The Coffee - Peter Went A'Fishin
4050,Penguin Café Orchestra,Vega (2001 Digital Remaster)
4051,Jazz Jamaica,Just My Imagination
4052,Delly Ranks,Roll On
4053,The Teardrop Explodes,Sleeping Gas
4054,Stella,OK_ Tomorrow I'll Be Perfect (The Spectaculum Dub)
4055,Al di Meola & friends,Topaz
4056,Unshine,For The Huntress And The Moon
4057,Paquita La Del Barrio,Volvere Otra Vez
4058,The (International) Noise Conspiracy,Cross Of My Calling
4059,Wolfe Tones,Sean Tracy
4060,Perry Como,Blue Room
4061,Bigger Than Jesus,Magnatar (Stu Hirst Remix)
4062,KDC,Las Calles Me Llaman
4063,Tomas Andersson,Why Can't I Believe
4064,Galliano,Prince Of Peace
4065,Cal Smith,The Lord Knows I'm Drinking
4066,Willie Mitchell,Papa's Got A Brand New Bag
4067,Nahoru po schodisti dolu band,Ja rad nicim
4068,Blank Dogs,Red World
4069,John Wubbenhorst,Desert Darshan
4070,Hot Tuna,Candy Man
4071,Chimène Badi,Entre Nous
4072,Warrior Soul,Real Thing
4073,Dynamix II,When I Dream
4074,Frank Boeijen,Het Antwoord
4075,Casa Loma Orchestra,Exactly Like You
4076,Righteous Brothers,In The Midnight Hour
4077,The Christians,Learn To Love
4078,Alain Morisod,Yesterday
4079,Young Fresh Fellows,Faultless
4080,Herbie Nichols,Cro-Magnon Nights
4081,Subtle,The No
4082,The Replacements,Otto
4083,A.B. Quintanilla III Y Los Kumbia Kings Con La Participación Especial De Fito Olivares,Azúcar
4084,David Lee Roth,Big Train (2007 Remastered Album Version)
4085,The Freed Unit,Bubble Brain
4086,Rufus Thomas,I'll Be Your Santa Baby
4087,Kathy Brown,Don't Give Up (Steven Mestre & Wilson Santos Dub)
4088,Ricardo Braga,Aleluia_ Aleluia
4089,Diana Ross,Love Hangover
4090,Arthur Fiedler;Earl Wild,An American In Paris
4091,J. Tillman,My Proud Mountains
4092,Groove Rider,Imagination
4093,Porno For Pyros,Meija ( LP Version )
4094,Daedelus,Fair Weather Friends
4095,Bad Brains,Riot Squad (Previously Unreleased)
4096,Gonzoe,Rep Yo' Hood
4097,Angie Stone,Touch It (Interlude)
4098,The Enemy,Jesus Rides a U.F.O.
4099,Guitar Slim,Down Through The Years (LP Version)
4100,Orioles,You're Gone
4101,Pat Benatar,Shooting Star (1999 Digital Remaster)
4102,The Redwalls,Build A Bridge
4103,Los Patita De Perro,Las Pulgas
4104,Sportsguitar,Very Weird
4105,Merle Haggard And The Strangers,Sing Me Back Home (2001 Digital Remaster)
4106,David Morales W/ Vivan Sessoms,Take My Luv
4107,9 Lazy 9,Bad Boy
4108,Kalaban,Hotash Slay
4109,Lil Rob,Back Up
4110,Preston Epps,Bongo Rock
4111,Drunken Boat,Balloon Song (album)
4112,The Hives,Abra Cadaver
4113,Keith Urban,You'll Think Of Me
4114,Stanley Jordan,Fundance
4115,Memphis Minnie,Hoodoo Lady
4116,Dash Rip Rock,I'll Be Your Bad Dream
4117,Throttlerod,The Sweetness
4118,Mindy McCready,Songs About You
4119,Magnapop,Skinburns
4120,Radio Futura,Han Caido Los Dos
4121,Gilby Clarke,Pawnshop Guitars
4122,Wanessa,Me Pega De Jeito (Me Pega De Jeito Ou Não Pega)
4123,Ferron,Still Riot (Album Version)
4124,Nicole C. Mullen,Convinced (Album)
4125,Marisa Monte,A Alma E A Materia
4126,Leonard Cohen,Iodine
4127,Howard Shore,Nine Elms
4128,Wetdog,Lower Leg
4129,The Year Zero,Moon Viewing Parties
4130,Massiv in Mensch,Dark Rave
4131,Cheb Khaled,Saida
4132,Al Anderson,I Got Your Number (Album Version)
4133,Elvis Presley Vs Spankox,That's All Right
4134,Cowboy Copas,Tragic Romance
4135,Deicide,The Truth Above (Album Version)
4136,Suicidal Tendencies,Possessed To Skate
4137,Bad Religion,What It Is (Live)
4138,Chris Cummings,I'm On My Way
4139,Son House,The Pony Blues
4140,Pigeonhed,Special Way (Album)
4141,My Computer,Crystal Clear
4142,Adie,Sufficient
4143,The Dears,We Can Have It
4144,Crazy Horse,Ciao
4145,Arts & Decay,Big Lover
4146,Tyson,I Ain't That Type!
4147,Widespread Bloodshed,Phychoward (Album)
4148,Trini Lopez,Yesterday (Album Version)
4149,K-Ci & JoJo,How Can I Trust You?
4150,Every Time I Die,Here's Lookin' At You
4151,Sarah Brightman / Steve Harley,The Phantom Of The Opera
4152,Our Theory,Yeah_ That's Right
4153,Beogradski Sindikat,Gorila u magli
4154,Roy Orbison,The Morning After
4155,Arturo Benedetti Michelangeli,Carnaval_ Op.9 (2004 Digital Remaster): Eusebius. Adagio
4156,Elf Power,Circular Malevolence
4157,Full of Fancy,Girls Don't Cry
4158,Dale Russ / Finn MacGinty,The Shamrock / St. Ann's
4159,Oesch's die Dritten,Mi Vatter isch en Appezeller
4160,Gorefest,Mental Misery
4161,Nodes Of Ranvier,Kyrie
4162,LOCK UP,Darkness Of Ignorance
4163,The Fever,Magnus
4164,Willie Bobo,La Bamba
4165,Katja Ebstein,Sei Nicht Alt
4166,Love,I'll Pray For You
4167,Shaila,Fuego En La Venas
4168,The Feeling,Don't Give Up
4169,Minnesota Orchestra,Symphony No. 9 In D Minor: Adagio: Sehr Langsam
4170,Spock's Beard,Carry On
4171,The Berg Sans Nipple,Ghost
4172,Next Level,Essere la più bella
4173,Melanie Fiona,Bang Bang
4174,Dina Carroll,Ain't No Man
4175,Lulu Santos,Força Do Destino
4176,Eleven,Remember
4177,Tony Tuff,Just A Minute
4178,Oldskool Junx,Bomb Rush
4179,Frankie Avalon,Venus
4180,Richard Thompson / Linda Thompson,Jet Plane In A Rocking Chair
4181,Edith Lefel,Tomaline
4182,Index For Potential Suicide,The Nine Envelopes' Contents
4183,Sol D' Menta,Un Par de Latidos
4184,Bilge Pump,Fire Works
4185,Ernie Halter,Count The Days (Live)
4186,Cirrus,Abba Zabba
4187,Prefuse-73,Interlude
4188,The Shirelles,Tonight's The Night
4189,Thompson Twins,Sister Of Mercy
4190,John Doan,Saint Patrick In The Spirit
4191,Alejandra Guzmán,Por Un Momento
4192,Trey Songz,You Can Get It featuring T.I.
4193,Tragedy Khadafi,U Make Me (Feat Capone_ Littles_ V-12)
4194,Placido Domingo;Renata Scotto,Gran ventura
4195,La Hungara,Consejos De Amiga
4196,New Found Glory,Head On Collision
4197,Hladno Pivo,Pjevajte nesto ljubavno
4198,Psapp,Make Up
4199,Brimstone Howl,Hero Of Gold
4200,Miika Kuisma,One Morning By The Riverside
4201,Kudai,Algo De Más
4202,2econd Class Citizen,Wishing Well (Wyred Remix)
4203,Shocking Pinks,Limehouse Nights
4204,Tony Rice,Port Tobacco
4205,George Acosta,Fallin Backwards
4206,Asha Bhosle,"O Chand Jahan Woh Jaye (From ""Sharada"")"
4207,Vargo,Dear Friends - Prelude
4208,Plies,Runnin My Momma Crazy (Explicit Album Version)
4209,Sami Saari,PIENET HETKET
4210,Lord Kitchener,Birth of Ghana
4211,The Rubettes,Beggarman
4212,Kokolo,Late Night Closed Eyes
4213,The Pierces,Wake You Up
4214,Black Legend,You See The Trouble With Me [Rob Romano Remix]
4215,Larry Garner,For you Mr. King
4216,Stanley Clarke,Hot Fun-Closing
4217,The Unknown Ghosts,Master Of Ceremonies
4218,Alannah Myles,Motherload
4219,Scorpions,Leave Me
4220,Lushlife,Another Word For Paradise feat. Camp Lo
4221,Sir Douglas Quintet,The Railpak Dun Done In The Del Monte
4222,Neil Diamond,Girl_ You'll Be A Woman Soon
4223,Gaetano Parisio,Man In Groove
4224,Garnet Mimms And The Enchanters,My Baby
4225,Johnny Moped,These Students
4226,Simon Harris,Sample Track 14
4227,Caliban,Major Malley
4228,Belouis Some,Passion Play
4229,George Ducas,You're Only My Everything
4230,Teena Marie,It Must Be Magic
4231,Equilibrio Vital,El Ausente
4232,Panóptica,Almada (Desalmada Mix)
4233,Faith Kleppinger,Understudy Lines
4234,Howard Jones,Straight Ahead
4235,Kool Savas,10 Gebote
4236,Rosa Passos,Olhos Nos Olhos
4237,Edgar Winter,On The Tip Of My Tongue
4238,Fishbone's Angelo Moore,Dance To The Music
4239,Frank Martiniq,Clash
4240,Betagarri,Bizitzari txistuka
4241,John Cale,I Keep A Close Watch
4242,The Sons Of the Pioneers,Power in the Blood
4243,Rabia Sorda,El Caos
4244,Kim Weston,Your Wonderful Sweet_ Sweet Love
4245,Rapid Ric,C&S Where U From
4246,The Viceroys,There Is Hopes - Original
4247,The California Ramblers,Vo-Do-Do-De-O Blues
4248,Roine Stolt,Nuclear nemo
4249,Into The Moat,The Inexorable
4250,Stacey Q,Goin' Out (2006 Remastered LP Version)
4251,John Jackson,Reuben
4252,State Of Mind,Different Strokes
4253,Richard Galliano_ Jean-Charles Capon_ Gilles Perrin,Funky accordéon
4254,Nightfall,Keep It Up (Dim's DJ friendly Edit)
4255,The Old Romantic Killer Band,Pigs
4256,Green On Red,Hair Of The Dog (Album Version)
4257,Attack In Black,Leaving Your Death in a Flowerbed
4258,Randy Newman,Kingfish (Remastered LP Version)
4259,The Lemon Pipers,Wine & Violet
4260,David Hudson,The Big Wet
4261,Fun 'Da' Mental,Mr Bubbleman
4262,Claudine Longet,Birds
4263,Veltto Virtanen,Erämaan kettu
4264,Symbiosis Orchestra,Live at GAM_ Gallarate 3
4265,Die Apokalyptischen Reiter,Himmelskind
4266,Stee Wee Bee,Start The Party
4267,Prince,Old Friends 4 Sale (LP Version)
4268,Phrenetic System,The Sequel
4269,Emiliana Torrini,Ha Ha (KCRW.com Presents)
4270,Gunslingers,The Minister's Black Veil
4271,J.B. Hutto,Boogie Right-On
4272,Diana Ross & The Supremes,Someday We'll Be Together
4273,Haddaway,You're Taking My Heart (G`s Snooth Soul Radio Mix)
4274,Red Number Two,Cassiopeia
4275,Passenger 10,Mikado
4276,Gene Autrey,Here Comes Santa Claus
4277,M.I.K.E.,Salvation
4278,Kuhn_ Dieter Thomas,Musik Ist Trumpf
4279,Red Hot Chili Peppers,Green Heaven (Demo Version) (Digitally Remastered 02) ()
4280,Stars,Death to Death
4281,Aux 88,Tom Tom Beats
4282,Blyth Power,Born in a Different England
4283,Da Groove Doctors featuring Duane Harden,Music Is [Original Mix] (Album)
4284,Funki Porcini,Going Down
4285,Steve Hill vs Technikal,Theme from Impulz
4286,Nuclear Assault,New Song
4287,Poison,Play Dirty (24-Bit Digitally Remastered 05)
4288,Randy & The Rainbows,Happy Teenager
4289,Oasis,Be Here Now
4290,Chris Thile,Brakeman's Blues
4291,Axwell_ Ingrosso_ Angello_ Laidback Luke feat. Deborah Cox,Leave The World Behind
4292,Monodeluxe,Everything you need
4293,Cap'n Jazz,We Are Scientists!
4294,Oh No,Dare Say
4295,Envy,Nadine
4296,PJ Harvey,Dry
4297,Common / Kanye West,Southside
4298,The Doors,The Crowd Humbly Requests [Live At The Aquarius - The First Performance] (LP Version)
4299,Del Amitri,Funny Way To Win
4300,Guadalupe Pineda,Eclipse De Mar
4301,Nuyorican Soul,Mind Fluid (Chemidbu Mix)
4302,Blackwater,Track One
4303,Al Dexter,Honky Tonk Blues
4304,Triinu Kivilaan,Is It Me
4305,Gorilla Zoe featuring Jody Breeze & JC,Count On Me featuring Breeze & JC (Explicit Album Version)
4306,Nick Ingman;Gavyn Wright,Love & the Rehearsal
4307,DJ Flanger,Meloholica
4308,Muddy Waters,She Moves Me
4309,The Blue Nile,From Rags To Riches
4310,Canned Heat,Please Don't Bother Me
4311,Church Of Confidence,(Whatever Happend To) West Berlin
4312,Flyleaf,Who Am I
4313,Skinnerbox,Sonar (feat. RQM)
4314,Barry & The Remains,All Good Things
4315,Alicia Keys featuring Tony! Toni! Toné! and Jermaine Paul,Diary
4316,White Lion,Leave Me Alone (LP Version)
4317,Baggi Begovic & Rene Amesz,Paso
4318,Polly Bergen,Can't Help Lovin' That Man
4319,Michael Crawford,The Holy City (LP Version)
4320,Platters,I Wanna
4321,Piano Tribute Players,Savannah
4322,Rob Acid,Homeless Part 2
4323,Graeme Kin,Queen of Mists
4324,Golden Smog,Long Time Ago
4325,Majesty,Nowhere Man
4326,Cradle Of Filth,Nemesis (Album Version)
4327,Duels,Monsters Are Loose
4328,His Name Is Alive,Your Word Against Mine
4329,Neil Young,I Am A Child [Live At The Riverboat 1969] [Previously Limited Release]
4330,From Monument To Masses,The Quiet Before
4331,Aden,Boggle Champs
4332,Jughead's Revenge,Breaking Worlds
4333,Steven Halpern,Lake Suite I
4334,883,La lunga estate caldissima
4335,Fisher,Remind Me
4336,Climax Blues Band,Don't You Mind People Grinning In Your Face
4337,Los Gigantes Del Vallenato,Que Lo Sepa El Mundo
4338,Stray Cats,Rock Around With Ollie Vee
4339,Den Stora Sömnen,Jag Tänker Aldrig Bli Nånting
4340,Magida El Roumi,sho'oub Men Al Oshak
4341,Taj Mahal,Going Up To The Country_ Paint My Mailbox Blue
4342,Inspiral Carpets,Boomerang
4343,Gavin Bryars,(Room 002/3) Salle des Faïences / Salon Gris (Duo)
4344,John Prine,Far From Me (LP Version)
4345,Marshall Crenshaw,She Can't Dance (Remastered Album Version)
4346,Sippie Wallace,Every Dog Has His Day
4347,Karelian Warcry,66 406
4348,Death by Sadie,So In London
4349,Jorge Ben,A Menina Do Vestido Coral
4350,Between The Trees,You Cry a Tear To Start a River
4351,Rickie Lee Jones,Coolsville (LP Version)
4352,Marilyn Horne,Lullaby
4353,The Mae Shi,Party Politics
4354,Lupen Crook,Matilda V
4355,Mick Harvey,Scenic Railway
4356,ESG,Bam Bam Jam
4357,Tamara,All Of My Life
4358,Steve Coleman & Five Elements,The Movement In Self
4359,Jesus Christ Superstar - 20th Anniversary Cast,Blood Money
4360,theBREAX,Gravity feat. Rufat_ Apollo_ Tee-Jay_ Nomis_ Insufficient Funds & J Mellow
4361,Alannah Myles,Mistress of Erzulie (LP Version)
4362,Faith No More,Kindergarten
4363,Johnny Bond,Ten Little Bottles
4364,Damiano,Sulitario
4365,John Lennon,Borrowed Time
4366,Birds Of Avalon,Think
4367,Cyssero,Duck Down
4368,The Don Ramos Players,New Western
4369,J. Velloso,Doida para amar
4370,Webb Pierce,Wondering
4371,Riccardo Sabatini,Typical Italian Girl
4372,Mose Allison,Rollin' Stone (LP Version)
4373,Count Bass D,Reign or Shine (Feat. Rayna Shine)
4374,Damae feat. Londonbeat,I've Been Thinking About You (Extended Vocal Mix)
4375,High Contrast,Expose
4376,Bad Religion,Strange Denial
4377,Charlie Louvin,The Christian Life
4378,Dr. Calypso,Mr. Happiness
4379,Trolley Route,The Switch
4380,Fold Zandura,Ultradust
4381,Marissa Nadler,Leather Made Shoes
4382,Okay,Bullseye
4383,Jose Merce,Pa' saber de tu querer (Tangos)
4384,Banda Pequeños Musical,Vuela_ vuela
4385,Axel Stordahl;Frank Sinatra,The Night We Called It a Day
4386,Oranger,The Amazing Life of ...
4387,Los Rurales De Gilberto Parra,Nancy
4388,The J.J. Paradise Players Club,Wine cooler blowout
4389,Malú,Te Amaré_ Te Odiaré
4390,Ron Malakai,Duty Of Entity Better - Natlife Remix
4391,Leila Pinheiro,Amor Certinho
4392,SOL,Desejos
4393,Cressida Feat. Melly,Caught In A Dream
4394,Andy Starr,Watchin' the 7.10 Roll By
4395,The Antlers,Epilogue
4396,Stahlhammer,Jeanny
4397,Lucha Reyes,Cancion Mexicana
4398,Jan Wayne,Only You (Radio Edit)
4399,Rabicho,Arte de amar
4400,Rob Rock,Savior's Call
4401,Audio Bullys,I'm In Love
4402,Mumakil,Barbecue in Bhopal
4403,Curley Weaver,You Was Born To Die
4404,John Mellencamp,Martha Say
4405,Holger Zilske,Wrecker 06
4406,Die Krupps,Doppelgänger (Re-Mastered)
4407,Johan Norström,All skit hon får
4408,The Triangle,Pop Song/Like A Father
4409,Captain Hollywood Project,Axel F. 2003
4410,Luther Allison,Luther's Blues
4411,Know the Score,Bulls**t Artist
4412,Brewer & Shipley,People Love Each Other
4413,Modus,Water Colors
4414,Sheila On 7,Cahaya Terang
4415,Antonio Venuti_ Mr. Goaty,Hands Up
4416,Alabama,Down This Road
4417,Italoboyz,L'Anagramme
4418,Motormark,Eat.Drink.Sleep.Think.
4419,Peg Leg Sam,I Got a Home
4420,New Generation Superstars,Come Over
4421,John Lee Hooker,Love Money Can't Buy (26 Jun 1953)
4422,Issac Delgado,Hojas Muertas (Les Feuilles Mortes)
4423,Robin Williamson,Verses At Ellesmere
4424,JoJo,Chander Gaye Chand Legeche
4425,Sleepytime Lullabies,Itsy Bitsy Spider / It's Raining
4426,Harold Budd And Brian Eno,An Echo Of Night (2005 Digital Remaster)
4427,Valete,15 segundos de Che Guevara
4428,Darden Smith,Place In The Sun
4429,We've Got A Fuzzbox and We're Gonna Use It,Self! - Demo
4430,Los Hermanos,Lines of Nazca
4431,The Shadows Of Knight,Bad Little Woman (LP Version)
4432,Steve Johnson,I Got The Blues
4433,Kannon,La luna escapa del sol
4434,Backstreet Boys,Just To Be Close To You
4435,Little Willie Littlefield,Ain't a Better Story Told
4436,Dela Dap,Gi
4437,Vivian Khor,Majesty
4438,Amduscia,La terza era
4439,The Beach Boys,Hey_ Little Tomboy (24-Bit Remastered 00) (2000 Digital Remaster)
4440,Virgil Moorefield,Vitus Dance
4441,Light In Your Life,Song About Love
4442,Stonegard,Elroy (St. One EP)
4443,Declan Galbraith,Twinkle Twinkle Little Star (Declan's Prayer)
4444,Chip Taylor,Gin Rummy Rules
4445,CCCP - Fedeli Alla Linea,Manifesto (2008 Digital Remaster)
4446,Super Mal / Luciana,Bigger Than Big
4447,Lili Ivanova,Kakvo si ti? (Instrumental Version)
4448,volcano!,La Lluvia
4449,Sir Thomas Beecham/Royal Philharmonic Orchestra,Symphony No. 5 in B flat D485: II.      Andante con moto
4450,Ben E. King,You Made The Difference To My Life (LP Version)
4451,Red Peters,The Dark Years
4452,The Gentle Good,Hiraeth am Feirion
4453,Zen Lemonade,Die Ashanti
4454,June Christy,That's All
4455,Orlando Julius,Bojubari
4456,Lamont Cranston Blues Band,Hoodoo Man
4457,Sniff 'n' The Tears,New Lines On Love
4458,André Hazes,De Sneuvelkroeg
4459,Deitrick Haddon,It's Over Now
4460,Nine Inch Nails,Closer To God
4461,Bleeding Hearts,Fear of the Dark
4462,David Sanborn,Jesus
