,singer,song
332804,Melendi,Como Se Bailan Los Tangos
736046,Zebra,Christmas Morning
661745,The Deer Tracks,Cast Away
367288,Daft Punk,Teachers (Extended Mix)
764111,Diefenbach,Underboys
482497,Reks,Final Four (F. Esoteric_ J Live_ Shabaam Sahdeeq_ Pace Won_ Young Zee_ Lonnie B & Danja Mouf)
434065,Zeca Baleiro,Blues Do Elevador
714067,Kevin Seconds,Motherfuckers
214910,Johnossi,Party with My Pain
739340,Primordial,Fuil Arsa
352384,Sebadoh,Limb By Limb
443212,Nightrage,Phantasma
687450,DJ Paul,Intro
952134,Tripp,Let It Go
613968,Richard Grey vs. Erick Morillo,Say the Word (Dub)
896858,Kristinia DeBarge,Goodbye
52583,Cardenales del Exito,La Florecita
626710,Otis Spann,Blues For Hippies
613605,The Original Five Blind Boys Of Alabama,I'll Fly Away
302839,Clifford Brown / Max Roach Quintet,Love Is A Many Splendored Thing
787118,88 Fingers Louie,Run On Home
344833,Stephen Sondheim,ACT I: Gold!
606726,Lionel Richie,Still
98945,Across Five Aprils,Hearts_ Necks And Other Things That Break
200244,Wackies,You I Love Dub
761512,Clarence Williams' Blue Five (featuring Sidney Bechet),Wild Cat Blues
468852,The Icarus Line,Love is Happiness
92093,Fats Domino,Whiskey Heaven
214384,Charlotte Hatherley,Full Circle
696532,Mayra Veronica,Es Tan Dificil
632465,Mandy Miller,Little Snowman_ Little Snowgirl
198594,Danilo Ercole,Harbour
506213,Neko Case,Dirty Knife
206663,Arc_Lab,If_We_Keep_Going_We_Risk_Everything
839688,Warbringer,The Road Warrior
149575,Team Doyobi,Sinusoidal Man - Locate Sector 7
218206,The Insects,Marmot (Recorded around the singing of a Mongolian nomad on the Siberian plain.)
650513,Alban Berg Quartett,1er Mvt Allegro (String Quartet N18 K464 La Maj)
529923,Gabor Szabo,Song Of Love
706126,Aram Quartet,Bohemian Rhapsody
969613,Hope Of The States,Sing It Out
394263,Hape Kerkeling,Das Interview mit der grönländischen Eskimofrau
441894,Heatmiser,Don't Look Down
164023,Brass Construction,Partyline (Party Mix)
217253,Termanology featuring Ea$y Money,Still In Effect
665428,Cañaman,Business
944992,Falko Brocksieper,Faux Bold
645314,Peggy Zina,EFIGES
753707,Casa Loma Orchestra,Jungle Jitters
864943,The Ozark Mountain Daredevils,Dream-O
369680,BB Steal,Connection
236879,Pankananda,Intro
175245,Albertucho,Manos de trapo
263705,Computer Cougar,We Can't Fake It
983729,The Fold,Spark Match Crush
37046,Fabiana Cantilo,Nada es para siempre (Forever Radio Edit)
234480,The Jackson Southernaires,Somewhere In Between
167556,e.s.t. Esbjörn Svensson Trio,Definition Of A Dog (Live in Hamburg)
76635,Josef Locke,Dear Old Donegal
856139,Garden Of Delight,The Relation Of Light To Shadow
260588,Fun 'Da' Mental,Dog War
83614,The Melvins,Montreal
545587,Screamin' Jay Hawkins,You want love
996471,Barry Brown Meets The Scientist,Girlfriend In Dub
389518,Ashton Allen,Dewdrops
584476,Dave Van Ronk,Dave speaks
282606,Stillste Stund,Golem
206627,J.J. Fad,Now Really (LP Version)
139450,Björk,Who Is It
811636,Jimmy McCracklin,Reelin' And Rockin' Twist
91617,Shut Up & Dance,Say Party
911004,Ed Rush_ Optical,Musclehead
708232,System of a Down,Marmalade
588730,Woods,Make Time for Kitty
871110,Vários,O Macaco E A Velha
851117,Les Misérables - Original London Cast,Empty Chairs At Empty Tables
673851,Michael Penn,Lucky One
651464,P.S. I Love You,Hail Mary
17627,Linea 77,Flussi Informativi
81579,DJ Clue / Canibus / Noreaga / Cam'Ron / Big Pun,Fantastic 4
668170,fsFreak,Ex Nihilo
268393,Blue Foundation,As I Moved On
276286,The Hush Sound,Honey (Album Version)
603363,Lau Nau,Kuula
752091,Bjørn Aslaksen,Som Vannet Bryter Gjennom
766338,Cassettes Won't Listen,Tonight Is Gone
711839,Eddie Murphy,Party All The Time
488079,Los Solitarios,No debes llorar
873141,Shooting At Unarmed Men,The Long And The Short Of It
608182,Quinoline Yellow,Loofers for Shin Pads
368929,IIIRD Tyme Out,Someone Took My Place With You
210870,Concrete Blonde,Little Conversations
937754,Kelly Marie,Feels Like I'm In Love
784736,Six Ft Ditch,Victimized (feat. Joe None)
755363,Sharron Kraus,Cold-Hearted Devil
658497,M-Sphere,The Valley
717067,Michael Gettel,Angel's Landing
291078,Mr. Brady,We Stay Hungry
167102,Gaute Ormåsen,Hallo
31881,Turbonegro,Bad Mongo (Live)
989445,Tommy Ridgley,Real Gone Jam
347481,Yuppie Flu,Back Home
206995,Blind Zero,Hold Me Forever
587012,Nelson Ned,Antes Que Seja Tarde
859153,Vampire Hands,No Way
500514,Kolombo,U Talking To Machine
919609,Domenico Modugno,Strada 'Nfosa
911240,Hieroglyphic Being,Dreams De Illusionaries
951177,MC Harras & The Sendling 70 Pussy Riders,Immer Nur Zahlen
80297,Sophie Ellis-Bextor,If You Go
244238,Magical Power Mako,Oh_ Sunny Day
710588,Mississippi Jook Band,Hittin' The Bottle Stomp
657845,Rainbow Arabia,Omar K (Ghosts On Tape Remix)
148009,Evile,Metamorphosis
878674,Dan Black,Pump My Pumps
53421,Luna Halo,Humble Thyself In The Sight Of The Lord (Listen Louder Album Version)
622400,Seth Gueko,Dès que
676893,Hoyt Axton,Bring Your Lover
863918,InMe,Master Storm
564737,Alva Noto,wall anfang: for jeff wall
916684,Manson Family,Duck
703090,DAVE MATTHEWS BAND,Don't Burn The Pig
340174,Basil Kirchin,E+Me
866765,Morgan,This World We Love In (Il Cielo In Una Stanza )
356912,Audion,The Pong
69186,Julia Fordham,Talk Walk Drive
228258,Babatunde Olatunji / Sikiru Adepoju,Wake Me When I'm Free
688011,Marcia Griffiths,Cry No More
204515,Material Issue,Chance Of A Lifetime
470466,Gene Autry,Blueberry Hill
574089,Cow Cow Davenport,State Street Jive (Take A)
173527,Wreckshop Records,Dirty South (Screwed) (feat. E.S.G. & Big Steve)
457430,Anggun,Tu Mens
796069,The Woodentops,Steady Steady
350097,Bellini,Mr. Samba
334642,Daniele Silvestri,Cohiba
692920,Lara,Bidonville
403511,Damone,Leave Me Alone
29449,Ron Goodwin,Return My Love
844705,Hevia,Gaviotes (Album Version)
232262,Mike And The Mechanics,Nobody Knows
45188,Miguel Reyes,I Sacrificed
872708,Leeland,Weak Man
176291,Stevie Ray Vaughan,Life Without You
400165,Debauchery,Blood For The Blood God
320390,Paul Rutherford_ Philipp Wachsmann _ Barry Guy,903/1
489148,Hue And Cry,The Man With The Child In His Eyes (2008 Digital Remaster)
710328,Four Lads,No Not Much
968689,Beast,Ashtray
707968,Depipson,Mbang Ni Loune
528790,The Great Deceiver,Strychnine
272681,Rick Treviño,It Only Hurts When I Laugh
44569,Otis Spann,Worried Life Blues
876748,sea of sin,Illuminate
272658,Gail Pettis,Help a Good Girl Go Bad
583758,Olivia Ruiz,La Petite Voleuse
314163,Jascha Heifetz,Partita No.3 in E_ BWV 1006 - IV. Menuets I & II (1992 Digital Remaster)
867287,La Chanson Du Dimanche,Avancé collé
683451,Michael Jackson,Doggin' Around
475297,Talking Heads,Thank You For Sending Me An Angel [Version]
388432,Thaione Davis,Weatherbreak
384084,Björns vänner,Åkrar och himmel
930074,Ripple,Different Ting
237450,The Mannish Boys,Educated Ways
490187,Planet X,2116
853288,You Say Party! We Say Die!,Midnight Snake
602339,Icon Of Coil,Confront [Floorkiller Remix by Epa]
596153,The Lilac Time,The Days Of The Week
699095,Stacie Orrico,Tight (Earthlink Live)
127101,Bobbi Humphrey,The Trip
223457,Brutal Truth,Afterword
83145,The Black Widow,Broken Soul
755958,Break,Let It Happen VIP
7008,Abi Wallenstein,Keep Your Hands Off Her
964689,Terry Callier,Lookin Out
559438,Hong Kong In The 60s,Disintegration
195195,Jazz Crusaders,Honey & Spice Broute
172450,Lidia Kopania,Czy Pomyslalas
600822,Shihad,Envy (Album Version)
560885,Caroline Loeb,C' est la ouate (radio edit)
197211,Mike Shiver,Feelings
684919,Sophie B. Hawkins,Swing From Limb To Limb (My Home Is In Your Jungle)
856911,Johnny Cash;June Carter,Oh_ What A Good Thing We Had
545978,Keith Whitley,Would These Arms Be In Your Way
600682,Eurythmics,Sisters Are Doin' It For Themselves
527652,Switchblade Symphony,Wrecking Yard
864627,Karmah,Look Into My Eyes
456886,Suzi Quatro,Kids Of Tragedy
53045,Stick McGhee,Baby Baby Blues
613623,Clifford Brown,Lullaby Of Birdland
75393,Too Much,Freestyle
937292,King Diamond,The Ritual
519072,Vicious Rumours,Anytime Day Or Night
176828,The Cinematic Orchestra/London Metropolitan Orchestra,Transformation
472792,Jimmie Lee Robinson,If I Get Lucky
286,M.I.K.E. vs. Andrew Bennett,A Better World
545403,Return To Forever,Sorceress
197657,Sammi Cheng,Du Yi Wu Er Remix Ban
669594,Pointed Sticks,The Witch
582038,36 Crazyfists,One More Word (Album Version)
656198,Josh Rouse,"Camping In Copenhagen [Demo for ""Summer Kitchen Ballad""]"
145733,Swizz Beatz,You Know Your Boy Did That
947495,Gary Hobbs,Fever
733435,Roy Wood,Olympic Flyer (2006 Digital Remaster)
145837,Fedayi Pacha,Taqsim #1
524343,Burning Spear,Jah Is My Driver (Version) (2002 Digital Remaster)
238929,Katie Webster,When Something Is Wrong With My Baby
414061,Einstuerzende Neubauten,Tanz Debil
507533,Max Romeo,What Am I Living For - Original
368338,The Supermen Lovers,Hard Stuff (Instrumental)
405508,Beyoncé,Baby Boy
186451,Art Blakey,Calling Miss Khadija (Rudy Van Gelder Edition) (2003 Digital Remaster)
975155,Mr. Catra,Roubo Da Motinha
743295,Robin Williams & Shelley Duvall,Blow Me Down
313163,Wooden Shjips,Motorbike
547967,Klimperei,Porridge
365672,Katia B,Segredo
428214,Steve Miller Band,Dime-A-Dance Romance (1991 Digital Remaster)
722867,Douglas Spotted Eagle,Breathe (1998)
125372,Azad feat. Dalishar & Charlie El Mouharib,La vie est un combat
811009,Karunesh,Lightdance
925208,Andy Abraham,Me And Mrs Jones
870445,Ticon,Poem For Granny
893629,X Makeena,Hollow Eyes
337982,John Fahey,The John Fahey Sampler_ Themes And Variations
647758,Pandora,¿Después De Ti Qué?
930010,Phil Phillips,Sea Of Love
692034,Apostle Of Hustle,how to defeat a more powerful enemy
303954,September When,Comes Around
300343,Unter Null,Visceral_ Venom of My Being
680356,Ken Navarro,Let It Go
419442,Down Low,Another Day...
506538,C & C Music Factory,?
91370,Swervedriver,Girl On A Motorbike
311306,Yo Yo Mundi,Pixies Live in Prasco
749968,Niccolò Fabi,Dica
740182,Robert Harris,Kubla Khan by Samuel Taylor Coleridge
45681,Scienz of Life,Yikes!!!
612023,De Lyckliga Kompisarna,Slav I prylarnas Värld
50984,Lightnin' Hopkins,Goin' Back Home (Album Version)
245295,Fares Karam,Khetyar Al Akkaze
823053,Rodney Jones,Blues for Wes
385793,Charly García,La Ruta Del Tentempié
987969,The Red Thread,Details
706935,Afterhours,Male Di Miele
439103,Red Nichols,Rose of Washington Square
61264,Ayria,Disease (Razed In Black Mix)
612508,Shebang,Shortcut To Heaven
306204,Nati Cano's Mariachi Los Camperos,Paloma negra
983060,Connie Francis,Lipstick On Your Collar
675353,Grady Tate,"The Windmills Of Your Mind (Theme From ""The Thomas Crown Affair"")"
884664,Karen Clark Sheard,Blessings
570390,Vangelis,Anthem - 2002 FIFA World Cup? Official Anthem
324106,The Lettermen,Love (1987 Digital Remaster)
31398,Angels and Airwaves,Breathe
325763,Chikita Violenta,Pangea
295486,Magazine,Touch And Go (2007 Digital Remaster)
631015,Hermanas Huerta,Cada Noche Un Amor (Bolero)
793231,Brigitte Bardot,Je Me Donne A Qui Me Plait
691801,Ne Luumaet,Tappajatomaattien hyökkäys
999075,Ursula 1000,Boop
67093,Lil Jon_ Lil Scrappy_ DJ Drama,What Ya'll Ridin'?
60812,Para,Otec 2
40890,Laid In Ashes,Regressus Diaboli
326427,The Milkshakes,Money (That's What I Want)
900318,Evie,A Song For Everyone: Don'T Take My Cross Away
231143,Mark 1,I Want To Go To The Fuckin' Zoo
772204,Charlie Rich,My Baby's Done Left Me - Alternate
408424,Subsonica,Aurora Sogna
869310,Bruce Mitchell,Across The Border
83737,Albert Ammons,Bass Goin' Crazy
208709,Little Jimmy Dickens,A-Sleeping At The Foot Of The Bed
15338,Pin Me Down,Cryptic
898436,Natassa Theodoridou,Kitakse Me Mes Sta Matia
342371,Alessandro Safina,D'Amore
906417,DJ Encore / Engelina,High On Life
263123,Milk Inc.,Nothing To You
350295,Jorgen Ingmann,The March Of The Siamese Children (LP Version)
349528,Amorphis,Highest Star
81815,10cc,Silly Love
907825,Velvet,Fix Me
906057,Dirty Sweet,Rest Sniper_ Rest
605673,Mothboy,Movement
272430,Hagen Rether,Hühnerfresser
713392,José Carreras;Placido Domingo;Luciano Pavarotti,Jingle Bells
782216,Charlie Byrd,Dindi
383505,Shelby Lynne,Anyone Who Had A Heart
350007,Budget Girls,Walk The Walk
100283,Che Grand,Restart
918574,The Sutherland Brothers;Quiver,Midnight Rendezvous
367616,Absu,Night Fire Canonization
102230,Vinícius de Moraes,A uma mulher
38876,Crookers,No Security
973937,Prager Handgriff,Deutschland?
307003,Alton Ellis,Stronger (cut 2)
177335,Mahala Rai Banda,Morceau D'amour/Spoitoresa (Russ & Roc Remix) (20 Ways Medley)
993202,Sister Hazel,Sick To My Soul (Album)
533242,Lisa Gerrard & Jeff Rona,Johnny In The Dark (World)
93927,Karrin Allyson,I Found The Turnaround (The Turnaround)
803465,Hallucinator,Bloodfeast
547378,Mando Diao,Down In The Past
896778,Woss Ness,3's & 4's
656062,Re-up Gang,Cheers
962148,Dearestazazel,All My Friends Are In Love With Satan
711958,Roberto Perera,Delirio
534888,The Raspberries,It Seemed So Easy
597120,Annihilator,Never Neverland
493966,Malcolm McLaren,Lauretta (O Mio Babbino Caro)
552221,Sylvan,A Sad Sympathy (Album Version)
335091,Jets To Brazil,All Things Good And Nice
52951,Jimmy McGriff,A Thing For Jug
890441,Fun Boy Three,The Lunatics (Have Taken Over The Asylum)
595626,Uffie,MCs Can Kiss  [Mike D Remix]
106654,Dolly Parton,Highlight Of My Life
926661,Aura Noir,Released Damnation
393610,Five,It's The Things You Do
982209,Lichtenberg,Virus
539638,Empyre One,Dangerous (Original Mix)
477252,Neil Sedaka,That's When The Music Takes Me
174374,Air Supply,Can I Be Your Lover
875857,The Twinkle Brothers,Weep Not
707532,Del McCoury Band,40 Acres and a Fool
384538,Citizens Arrest,Breakdown
643783,Lisa Marie Presley,The Road Between
620124,John Mayall & The Bluesbreakers,Ain't That Lovin' You Baby
686846,Magnolia Electric Co.,The Black Ram (from The Black Ram)
864104,Omar Faruk Tekbilek,Whirling (Nickodemus and Zeb Remix)
238683,Phantom Planet,March of the Spiders
539058,Sheena Ringo,"Karisome Otome -""Temporary"" Virgin- (Hitokuchizaka Ver.)"
644043,John O'Callaghan feat. Audrey Gallagher,Big Sky
853496,Atjazz,It's Complete [Uschis Re-Groove]
158376,Something Happens,Beautiful Country
920686,Interpol,NYC (Demo Version)
706683,Hushabye Baby,Feels Like Today
697317,Love,Signed D.C. (Stereo Version)
227623,EM1,Amazing Grace
743698,Cornelio Reyna,Tu Traicion
350926,Brazilian Tropical Orchestra,Esta Tarde Vi Llover
484610,Three Friends,Chinese Tea Room
711803,The Byrds,So You Want To Be A Rock 'N' Roll Star
531156,Liv Kristine,Requiem
913674,The Lilac Time,Wait And See
453932,Cactus,My Lady From South Of Detroit (LP Version)
986859,Mothers Pride,Reckless
294716,Danity Kane,Heartbreaker (Album Version)
848260,Xavier Quijas Yxayotl,Antigua (World)
457416,Cherry Ghost,Mountain Bird
504937,Big Audio Dynamite,START
4700,NOFX,Linoleum
605244,Borknagar,Fleshflower
951244,The Old Romantic Killer Band,Things To Come
46026,The Greenberry Woods,Invisible Threads
493063,Kim Weston,Doin' It For Myself
716925,Sieges Even,Duende
1503,Kitty Wells,Searching (For Someone Like You)
949954,Café Tacvba,Alarmala de tos
619981,Test Your Reflex,I Won't Follow
152188,Bag Raiders,Fun Punch
570495,Logan Square,Buried
87202,Cattle Decapitation,Sonny's Burning
62016,Adema,Blow It Away
525264,Gustavo Lins,Só De Olhar
217826,Ana Caram,Overjoyed / Ancora
981780,Najwa Karam,Nadmanah
278794,Soulution,Hey Now ft. Project Move
266365,Culture,Calling Rastafari
67115,Ohbijou,Lamppost
283263,Strangelove,20th Century Cold (Live Acoustic Version)
344413,Dreamdate,Anyway
629613,Reuben,Death Of A Star
532911,John McLaughlin,Prologue
851782,Steve Stevens,Woman Of 1_000 Years
73054,Charles Mingus,Pithecanthropus Erectus
748857,Julie Fowlis,Jigs And Reels
215022,King,Never Let You Go
532698,Greg Osby,Low-Fi
113999,Johan Ekman,Reniscence
954791,Kap Bambino,Batcaves [Radio Edit]
132863,Skitzo,Kill With A Vengeance
276819,utopia:banished,Affirmative / A Letter
960957,Adriana Calcanhotto,Para Lá
815760,David Coverdale,Living On Love
25773,Kiprich,Obeah Man
3483,Elena,I Keep Wondering
844862,From.UZ,Taken
380368,Tom Waits,The Briar And The Rose
971470,Magma,The Last Seven Minutes
921766,polarkreis 18,Tourist
804447,God Forbid,Walk Alone
510397,Mad Professor meets Scientist,Buju Dub
957604,Roger Whittaker,Sunrise Sunset
220234,Salomé De Bahia,Bossa Rio
201209,Scott Krippayne,Sometimes He Calms The Storm (LP Version)
909645,Darude,My Game (Original Mix)
126015,Jimi Hendrix,Lover Man
389263,Jane Winther,healing bowls and voice
199990,4hero,Rising Son
199132,Orlando Julius,Ise Owo
106945,Cadaveria,Virtual Escape From Tragedy
880522,STL,Six In A Row
542582,Dif Juz,Two Fine Days (And a Thunderstorm)
480290,The Sons Of the Pioneers,Tumblin' Tumbleweeds
89204,Alison Moyet,Ode To Boy II
237503,Larry Tee feat. Perez Hilton,Me Penis (Act Yo Age Refixxx)
750465,J. Karjalainen & Mustat Lasit,Tahmea Lattia
781934,EMBASSY,The Thing That Freezes Me
994636,Fat Larry's Band,In The Pocket
722503,Beatfanatic,Organ Madness
902700,A-Team,Crew & Us
989655,Abdul Majeed Abdullah,Berehak
354015,Billy Walker,If It Pleases You
809302,Information Society,Ending World (Electric Hellfire Club Mix)
445720,The New Raemon,El Saben Aquel Que Diu
322369,Antonio Aguilar,Ella
935425,Fish Go Deep,How do you Feel?
100927,Static-X,Electric Pulse (Album Version)
436389,Lamont Dozier,Don't Want Nobody To Come Between Us
859724,Sparta,Guns Of Memorial Park
778200,Big Pun featuring Ashanti,How We Roll
111492,COM.A,Birth
982442,Total Science,Room Service
925735,Satoko Fujii,Strange Village
513429,Rondò Veneziano,Petit Papa Noel
793103,Bobby Capo,Celos Locos - Original
534813,The Trammps,Where Do We Go From Here [Alternate Mix]
666327,galactic cowboys,I Want You
73865,Young Buck,Ups And Downs
608951,City,Tamara
5578,Jazper featuring Picazzo,Havin a Good Time
600137,Rare Earth,Feelin' Alright
511620,Moist,Not Alone (Håkan Libdo Remix)
757438,Bird York,Up In Flames
54254,Ocho y Media,Cazador
621245,Jamie Cullum,Not While I'm Around
525170,Panda,Ya No Jalaba
665348,Solefald,Necrodyssey
7632,Inderjit Nikku,Munde Chumm-Chum Sudte Rumaal
564012,Christian Death,Still Born / Still Life_ Part II (The Unknown Men)
620133,Ghetto Mafia,Creepin
175157,Manhattan Transfer,Malaise En Malaisie
322371,John Lewis,I Remember Clifford (LP Version)
414406,Deathstars,Tongues
952258,Sister Hazel,Everybody (LP Version)
743653,Juan Carlos Baglietto,Las Cosas Tienen Movimiento
413411,The Jets,Hideaway
374004,Danny Vaughn,Miracle Days
823101,Hushabye Baby,The Girl I Am (Lullaby Rendition of Gretchen Wilson)
470337,Underoath,Alone In December
746460,Magna-Fi,My Heaven
81582,Paso Doble,Versunkener Schatz
821135,Pix,See Situation
62926,Sean Deason,The Return
621647,Lil Keke,Houston's Finest
501016,Clint Mansell,Welcome to Lunar Industries
757244,Plej,You
910608,Sam Collins,New Salty Dog
200145,Lewis Taylor,Lewis Iv
37447,Tiger Lou,Last Night They Had To Carry Me Home
641337,Eileen Farrell,Can't You Do a Friend a Favor?
196168,Leningrad Cowboys,L.A. woman
712553,E-Type,Made In Sweden
264595,Nick Cave & The Bad Seeds,Papa Won't Leave You Henry (Live)
454432,Tim Fischer,Erich
857864,Fairground Attraction,Allelujah (Live)
500841,Tonic,Celtic Aggression
610506,The Moonglows,Ooh Rockin' Daddy - Original
879494,Alex,Eg Gledist So Hvort Jolakvold
743755,Trackheadz,Amor Por Ti
987409,The Presidents of the United States of America,Lunatic To Love
979062,Fire Island,There But For The Grace of God [Futureshock Mix]
471289,Daniel Johnston,Circus Man (LP Version)
695419,Bonita Mercer,Tennessee Waltz
388762,Regi & Tom Helsen,Night And Day (Dave Lambert & Housetrap Vocal Extended)
277513,David Ruffin,Let Your Love Rain Down On Me
726915,Ferry Corsten,Watch Out (Lee Coombs Back To The Phuture Dub)
770729,Discover America,Call It In The Air
712203,Dave Evans,Whistlin' Milkman
944255,Amanda_ Amanda,Quisiera (Buleria)
695652,Elis Regina / Antonio Carlos Jobim,Só Tinha De Ser Com Você
130989,Erik Satie,Portrait of Socrates (the Banquet)
908422,Skull Duggrey,Game's Unlimited
271395,Kaliber,Kaliber06-b1
444382,Elvenking,Pathfinders
268763,The Black Keys,Black Door
447167,Charlie Parker_ Miles Davis & Friends,Embraceable You
189681,Jump Little Children,Copper Kettle
77643,Dan Hicks & His Hot Licks,I Asked My Doctor
27583,Seductive Souls,Harvest for the World
94103,Elektricni orgazam,Znam
947668,Mariem Hassan,La intifada
498799,The Loaded Nuns,Drink To Forget
788190,Build An Ark,How Do we End all this Madness ?
426747,The War On Drugs,Toxic City #26
330590,Johnny Hates Jazz,Your Mistake
593573,Mighty Mighty Bosstones,Howwhywuz_ Howwhyam
593385,Black Uhuru,Boof N Baff N Biff
666217,Magic Dirt,Kid Bug
749992,Moskwa TV,Brave New World (New Vocal Remix)
158787,Toto,Hold The Line
152033,Zoot Money's Big Roll Band,Whach Cha Gonna Do
34042,Gimmel,Mustavalkoisuutta
797483,Hope Of The States,End
208314,Earl Zinger,Song 2wo
940500,The Scissor Girls,S. Mongers
864667,Donald Glaude,Always - Donald Glaude Remix
285605,Obits,Light Sweet Crude (Album)
19532,Laaz Rockit,Nobody's Child
31338,James Taylor,Summer's Here
707442,The Psychedelic Furs,Wedding
852094,The Rembrandts,Lost Together (2006 Remastered LP Version)
169798,Ian McCulloch,Fear Of The Known
760064,Sivuca,Ainda me Recordo
410469,Hank Mobley,Lookin' East (2004 Digital Remaster) (Rudy Van Gelder Edition)
795761,Sevendust;Xzibit,What U See Is What U Get
483292,Beat Dominator,Shake Your Body (Bonus Beat Mix)
901287,Ed Burleson,I Can't Help Myself
860251,Miles Hunt,Escape From Rubbish Island
904923,Annie,Greatest Hit
137686,Modern Talking,The Night Is Yours - The Night Is Mine
121996,Hiroshi Oki and Alex Brinken,Uzak
812061,Marie Chasles,Le carnaval des chevaux
587247,Abijah,Woman
935093,Les Witches,Fortune my foe
790886,Lost Dogs,Ghost Train To Nowhere (Gift Horse Album Version)
683076,Moriarty,(...) n°2
446599,The Fureys,The Lonesome Boatman
521599,The Mamas & The Papas,For The Love Of Ivy
213007,Dark Funeral,Angelus Exuro Pro Eternus
365365,Fletcher Henderson,Fidgety Feet
225358,Mr Cooper,Part 01
601934,Not Breathing,Revlon Sky
124533,Itzhak Perlman/Pinchas Zukerman,44 Duos Sz98 (1996 Digital Remaster): No. 25_ Hungarian Song No. 2
251084,Genesis,Twilight Alehouse (2009 Digital Remaster)
170036,Glow,Ela E Mar
26300,Arrogant Worms,New Car Smell
961317,Absoluuttinen nollapiste,Pimeässä vietetty aika minuuteissa
356575,Rikarena,El Amor Se Vá
437842,Stacie Orrico,Hesitation
751666,León Gieco,Al Atardecer
873803,L'Affaire Louis' Trio,L'Homme Aux Mille Vies
133802,Dandi & Ugo,Solvente
69905,The Orb,Assassin
203120,Gucci Vump,The Boogieman
499201,John Michael Talbot,Here I Am (w/m Tom Booth)
73329,Handsome Boy Modeling School,A Day In The Life featuring RZA_ The Mars Volta & AG + Good Hygiene featuring Tim Meadows (Amended CD Version)
633144,Pip Skid,I Can't Front
592518,The 69 Eyes,Angel On My Shoulder
883450,Ky-Mani Marley,I Pray
838031,Nils Petter Molvaer,The End
917162,B.W. Stevenson,My Maria
978467,The Impressions,Love's A Comin'
887849,Dzem,Nieudany Skok (2003 Digital Remaster)
947139,Jigsore Terror,Brutally murdered
599194,Lena & Die Jamba Band,Kleines Wassermädchen
591562,HUM,Iron Clad Lou
820056,Shepherd,Shepherd
21268,Dillinger,Left With A Broken Heart - Original
338268,-123min.,September
924471,Belen Arjona,Soy nadie
496975,Ticon,zebra beat
779704,Mesa,Mahoba
475597,Chris Connelly,Mania
940230,Marmalade,So Sad
98024,Tramaine Hawkins,We're All In The Same Boat (Joy That Floods My Soul Album Version)
461510,Roger Sanchez,Lost
201648,Johnny Winter,It's My Own Fault
738358,King Kobra,Over Night Sensation
95210,Freddie & The Dreamers,What To Do
508998,George Dalaras,Stelios Kardaras
433990,DJ Liquid,Busted (Chris Anderson's Remix)
492888,Lynyrd Skynyrd,Am I Losin'
289011,Simone Tavazzi,Division
850174,J. Karjalainen & Mustat Lasit,Hippa
935552,The Wiyos,All Aboard
276639,Paul Potts,La Prima Volta (First Time Ever I Saw Your Face)
391021,Paul Carrack,If You Believe in Me
82866,Mightyfools,Super Sexy
274056,ERIC SARDINAS,Black Pearls
94804,Kan Kick,Usama Bush Laden
678276,Texas Radio Band,U & Me
934287,Ohrbooten,Kaufrausch
907677,Winter Hours,Roadside Flowers
62763,John Williams,Fantasía para un gentilhombre for Guitar and Orchestra/III. Danza de las Hachas. Allegro con brio
554481,Marduk,Night Of The Long Knives
561506,Napalm Death,Inner Incineration
424651,Regina Belle,Quiet Time
874708,Mundanus Imperium,Beyond The Earthly
568436,Tshala Muana,Tshikunda
277901,Ark,Interlude3
12072,Dylan In The Movies,Better Days
373340,Rasco,U Got The Time
159778,Soesja Citroen,Blue Monk
553516,Christophe Willem,Des nues
803472,Chubby Checker,Toot
632350,Volsoc,Calzoni (il Computer)
294075,Herbie Mann,Answer Me
622162,Exodus,Seeds Of Hate
901512,Everly Brothers,Whos Gonna Shoe Your Pretty Little Feet
3663,Teddybears Sthlm,Yours To Keep
295503,Los Caminantes,He Sabido
507965,Tom Rush,[Coda] [Remastered Album Version]
185469,Chalino Sanchez,Lino Luna
773608,Tracy Lawrence,Alibis (Acoustic Live Version)
969466,Crosby_ Stills & Nash,Guinnevere [Remastered LP Version]
469635,Hansel Y Raul,Bailala Pe'Gaita
703624,Lloyd Price,Misty
249585,Jonatha Brooke,King of My Love
412370,Madredeus,Matinal
718548,Vandera,A La Casa
725573,Pio Leyva,Ritmo de mi cuba
251242,Panpipes,Under Pressure
113668,Popsicle,By The Time I Get To Understand You
170077,Adie,Seek You
191650,Leroy Hutson,Getting It On
448354,Laurie Anderson,Running Dogs [Live Album Version]
564071,Jane Siberry,Shir Amami
379309,Macka B,Rasta Postman
190224,Sabrina Setlur,Nur mir
903873,Adriano Canzian,Amyl Nitrate (Ruben Montesco Remix)
329258,Sergio Dalma,Bajito Y Al Oído
451954,Wade Ray,Idaho Red
389499,Stadio,Canzoni Per Parrucchiere
32340,Pressure 4-5,Proven
67745,Bobby Sherman,Santa Claus Is Comin' To Town
626146,Les Diaboliques,Jubilation I
407390,Catch 22,Dear Sergio (Album Version)
98848,Black Flag,Gimmie Gimmie Gimmie
262960,Witch Hats,The She
511242,Patricia Manterola,Bandidos
990338,Sonsonete,Mira Mirala
69793,The Reverend Horton Heat,Goin' Back Home
813940,Hushabye Baby,Daddy Sang Bass
